user_id,session_id,event_type,timestamp,page,element,element_text,conversion_type,value,device,os,scroll_depth_pct,category
user_0104,sess_18ddbb64cd20,page_view,2026-03-29T06:45:48.089887+00:00,/home,,,,,mobile,Windows,,
user_0104,sess_18ddbb64cd20,page_view,2026-03-29T06:47:32.089887+00:00,/category/men,,,,,mobile,Windows,,men
user_0104,sess_18ddbb64cd20,page_view,2026-03-29T06:47:52.089887+00:00,/product/product_14,,,,,mobile,Windows,,shoes
user_0104,sess_18ddbb64cd20,wishlist,2026-03-29T06:48:43.089887+00:00,/product/product_14,btn_wishlist,찜하기,wishlist,,mobile,Windows,,men
user_0104,sess_18ddbb64cd20,click,2026-03-29T06:49:21.089887+00:00,/product/product_5,btn_buy,상세보기,,,mobile,Windows,,women
user_0104,sess_18ddbb64cd20,add_to_cart,2026-03-29T06:49:32.089887+00:00,/cart,btn_add_cart,장바구니 담기,add_to_cart,,mobile,Windows,,
user_0104,sess_18ddbb64cd20,page_view,2026-03-29T06:50:06.089887+00:00,/checkout,,,,,mobile,Windows,,
user_0104,sess_18ddbb64cd20,purchase,2026-03-29T06:51:07.089887+00:00,/order-complete,btn_purchase,결제하기,purchase,69821.0,mobile,Windows,,
user_0115,sess_c4abaf95fbd4,page_view,2026-03-29T06:58:57.089887+00:00,/home,,,,,desktop,Windows,,
user_0115,sess_c4abaf95fbd4,page_view,2026-03-29T07:00:30.089887+00:00,/category/men,,,,,desktop,Windows,,men
user_0115,sess_c4abaf95fbd4,click,2026-03-29T07:00:51.089887+00:00,/product/product_14,btn_buy,상품 이미지,,,desktop,Windows,,men
user_0115,sess_c4abaf95fbd4,add_to_cart,2026-03-29T07:01:56.089887+00:00,/cart,btn_add_cart,장바구니 담기,add_to_cart,,desktop,Windows,,
user_0115,sess_c4abaf95fbd4,page_view,2026-03-29T07:02:06.089887+00:00,/checkout,,,,,desktop,Windows,,
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:15:02.089887+00:00,/home,,,,,mobile,Android,,
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:16:45.089887+00:00,/category/shoes,,,,,mobile,Android,,shoes
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:16:50.089887+00:00,/product/product_6,,,,,mobile,Android,,shoes
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:18:32.089887+00:00,/product/product_9,,,,,mobile,Android,,shoes
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:20:24.089887+00:00,/category/shoes,,,,,mobile,Android,,shoes
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:21:17.089887+00:00,/product/product_7,,,,,mobile,Android,,men
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:23:11.089887+00:00,/product/product_16,,,,,mobile,Android,,women
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:23:45.089887+00:00,/product/product_18,,,,,mobile,Android,,men
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:25:02.089887+00:00,/category/men,,,,,mobile,Android,,men
user_0093,sess_0066b1d80bb4,page_view,2026-03-29T09:25:33.089887+00:00,/product/product_18,,,,,mobile,Android,,shoes
user_0091,sess_1a03a754c099,page_view,2026-03-29T10:18:56.089887+00:00,/home,,,,,desktop,Android,,
user_0036,sess_bb508d18a8e5,page_view,2026-03-29T10:19:35.089887+00:00,/home,,,,,desktop,iOS,,
user_0036,sess_bb508d18a8e5,page_view,2026-03-29T10:20:40.089887+00:00,/category/shoes,,,,,desktop,iOS,,shoes
user_0091,sess_1a03a754c099,scroll,2026-03-29T10:20:46.089887+00:00,/home,,,,,desktop,Android,45.7,
user_0091,sess_1a03a754c099,scroll,2026-03-29T10:21:00.089887+00:00,/home,,,,,desktop,Android,34.6,
user_0036,sess_bb508d18a8e5,scroll,2026-03-29T10:21:28.089887+00:00,/category/shoes,,,,,desktop,iOS,75.8,shoes
user_0091,sess_1a03a754c099,scroll,2026-03-29T10:22:09.089887+00:00,/home,,,,,desktop,Android,75.9,
user_0036,sess_bb508d18a8e5,scroll,2026-03-29T10:22:59.089887+00:00,/category/shoes,,,,,desktop,iOS,37.7,shoes
user_0091,sess_1a03a754c099,scroll,2026-03-29T10:23:17.089887+00:00,/home,,,,,desktop,Android,29.2,
user_0036,sess_bb508d18a8e5,page_view,2026-03-29T10:24:01.089887+00:00,/product/product_11,,,,,desktop,iOS,,shoes
user_0142,sess_ac5244dfd38e,page_view,2026-03-29T10:24:44.089887+00:00,/home,,,,,mobile,iOS,,
user_0091,sess_1a03a754c099,page_view,2026-03-29T10:25:11.089887+00:00,/category/women,,,,,desktop,Android,,women
